Date Collected	Plot	Sex	Weight	Species	Scale calibration
20130716	2	F	NA	DM	NA
20130716	7	M	33	DM	Y
20130716	3	M	NA	DM	NA
20130716	1	M	NA	DM	NA
20130718	3	M	40	DM	Y
20130718	7	M	48	DM	Y
20130718	4	F	29	DM	Y
20130718	6	F	37	DM	Y
20130819	8	F	52	DO	Y
20131017	3	F	33	DO	Y
20131017	3	F	50	DO	Y
20131210	9	F	40	DO	Y
20131210	1	M	45	DO	Y
20131211	8	F	41	DO	Y
20131112	9	F	117	DS	Y
20131113	11	F	126	DS	Y
20131113	17	M	132	DS	N
20131113	14	F	113	DS	N
20131113	11	F	122	DS	Y
20131113	4	F	107	DS	Y
20131113	4	F	115	DS	Y
20140109	1	M	40	DM	Y
20140109	1	F	36	DM	Y
20140313	1	F	51	DM	Y
20140313	1	F	44	DM	Y
20140313	1	F	146	DS	Y
20140108	2	M	44	DM	Y
20140108	2	F	7	PF	Y
20140108	2	M	45	DM	Y
20140108	2	NA	NA	OT	Y
20140108	2	M	157	DS	N
20140108	2	NA	NA	OX	Y
20140218	2	M	218	NA	N
20140218	2	F	7	PF	Y
20140218	2	M	52	DM	Y
20140311	3	M	8	PF	Y
20140408	3	F	NA	NA	Y
20140518	3	F	182	NA	Y
20140609	3	F	29	OT	Y
20140708	3	F	115	NA	Y
20140708	3	M	190	NA	Y
20140108	4	F	37	DM	Y
20140108	4	M	NA	DM	Y
20140108	4	F	48	DM	Y
20140108	4	M	52	DO	Y
20140108	4	M	35	OL	Y
